scene_number,filename,summary,num_lines_after_cleaning,num_lines_original
1,episode_1_scene_12.txt,"Michelle, Erin, Clare, James, Orla, Jon and Orla are going to a boy's party. Erin is not sure about it. James tells her to be confident and not be a blowfish. Michelle tells Erin to be sexy.",24,23
2,episode_1_scene_14.txt,Clare hasn't said a word since last night. James is wearing his pink waterproof trousers. He did it for a laugh. Erin and Michelle want to swap Harry.,23,15
3,episode_1_scene_20.txt,The Child of Prague statue that the Bishop gifted to Our Lady Immaculate College was passed around the Derry Diocese. Sister Patrick has left the school for a missionary work in Belfast. Ms. De Brn is the new English teacher.,22,20
4,episode_1_scene_24.txt,"Erin is writing a love story for her partner. She is frustrated that she has to explain the meaning of the word ""bide"" to Michelle and James.",19,17
5,episode_1_scene_34.txt,"Erin, James, Michelle, Orla and Clare have just known Ms. De Brn for two days and they love her. She invited them to her house at night.",39,28
6,episode_1_scene_36.txt,Clare was at Ms. De Brn's house at night. She was drunk. Jenny Joyce and Erin are on the street.,20,17
7,episode_1_scene_38.txt,Ms. De Brn is no longer in the class. Sister Michael will be taking this class for the rest of the term.,27,21
8,episode_1_scene_4.txt,The kids walk with their bags. They need to go south-east for 0.5 miles and will receive further instructions shortly.,24,19
9,episode_1_scene_5.txt,"Dennis is out of stock of a present for Protestants. Clare, Erin, Michelle, Orla, James and Erin want him to give them the Subbuteo and pay them off in instalments.",28,19
10,episode_1_scene_6.txt,Jenny and Aisling are going to buy a present for the Protestants. Jenny is good friends with a half-Protestant girl whose name's Zara and she has a horse.,41,29
11,episode_1_scene_8.txt,"Sister Michael, Jenny, Aisling and Michelle are getting off the bus. The Protestant bus has arrived. The headmistress and the Protestant boys get off in a single file. Sister Michael meets Miss Taylor, who is a Catholic. ",25,21
12,episode_3_scene_10.txt,"Rita ordered Michelle, Erin and Clare to move a dead sheep. Rita is back in the van, drinking beer and watching the girls happily. Erin is scared of Rita and doesn't want to help. Michelle, Clare and James decide to make James do it.",18,17
13,episode_3_scene_11.txt,"Rita, Erin, Clare, Michelle, Orla and Orla are going to a Take That concert. They are arguing whether or not to go back for James, who has the tickets.",36,27
14,episode_3_scene_13.txt,James is helping the gypsies. Michelle wants him to get in the van. James is not leaving. James and Jonjo are arguing.,36,24
15,episode_3_scene_2.txt,"Erin, Orla, Michelle, Clare and James are going to the This and That concert. Mary will be calling their parents to let them go.",41,24
16,episode_3_scene_3.txt,"Erin, Michelle, James, Clare and Orla are going to the concert. They are afraid of the polar bear but they are determined to go.",21,19
17,episode_3_scene_6.txt,"Soldier on radio: Examining suspect device now. Army bomb diffusers have arrived and are approaching the suitcase. They are going to blow up an entire suitcase of vodka. Michelle, Erin, James, Clare, Orla, Roger and Sister Michael are watching.",27,26
18,episode_4_scene_12.txt,Mary and Sarah are in the room with the dead body and the earrings. The earrings are Mammy's. They don't know what to do with them.,16,15
19,episode_4_scene_13.txt,"Michelle, Erin, Clare and Orla are in the bathroom. They are trying to flush a toilet to get rid of drugs. They have clogged it. Erin left the house without a plunger.",35,28
20,episode_4_scene_16.txt,"After the funeral, Granda Joe brought tea and a plate of scones. Erin, Orla, Gerry, Mary, Sarah and Orla eat them.",25,24
21,episode_4_scene_4.txt,"Mary's sister passed away. She blames herself for her death, but she didn't do anything wrong. She will go to her wake. Erin and Orla will do the dishes. Erin will also dust the stairs.",57,28
22,episode_4_scene_5.txt,"Eamonn's mother passed away. Sarah, Mary, Joe, Gerry and Colm are at the wake. Eamonn doesn't believe in a curse.",29,25
23,episode_4_scene_6.txt,"Sister Michael is at a wake, so he's had better evenings. Gerry's wife, Bridie, is not a good person. Father Thomas is sick, he drinks a lot of Jack Daniels.",30,25
24,episode_5_scene_11.txt,The prom has begun and a band is playing onstage. Clare and Mae walk in together. Jenny will be wearing red. Michelle is trying to keep two boys apart.,31,22
25,episode_5_scene_13.txt,Orla and Joe have arrived at the school hall. Joe and Orla are dancing a full fifties dance routine. Clare watches as her two dates start arguing. Kris is seeing a girl called Mae from Donegal.,53,26
26,episode_5_scene_3.txt,James won't go to the prom because it clashes with Doctor Who night. Clare was going to ask James to be her date but it's complicated for her as he's a lesbian.,19,17
27,episode_5_scene_7.txt,"Clare, Erin, Michelle, James, Orla and Mae are in a dress shop. Erin likes the pink dress the most, while Orla is torn between the purple and orange jumpsuit and the blue one.",23,19
28,episode_5_scene_8.txt,"Mae wants to buy a red dress for prom, but it's been left over for someone else. Jenny took the red one.",37,23
29,episode_5_scene_9.txt,"Jenny organises the prom. Erin is going with her new friend, Erin's from Donegal. The prom is rigged and Jenny is trying to win it. Erin doesn't need this and decides to skip it.",31,29
30,episode_6_scene_12.txt,The Clintons might be in Burt. Bill is going to the chapel. A taxi dispatcher from Burt ordered a car to bring Bill to mass.,36,17
31,episode_6_scene_22.txt,"Man introduces the President of the United States of America. Michelle, Erin, Clare, James and Bill Clinton are in a crowd.",30,21
32,episode_6_scene_4.txt,The President of the United States of America is coming to Derry tomorrow. Schools across the city are marking it as a public holiday. Sister Michael is worried that the visit will give the Pope ideas.,26,19
33,episode_6_scene_5.txt,"Clare, Michelle, Erin, Orla and James are angry at Chelsea. They are planning to play truant in protest against her.",34,25
34,episode_6_scene_8.txt,"Gerry, Jim, Joe and Colm are in the car. They are wondering why Bill Clinton was brought to Burt. Uncle Colm explains that he is American's thirty-fifth president, whereas JFK was the twenty-eighth.",19,16
35,episode_6_scene_9.txt,Gerry and Granda Joe are driving back from Roscarna Road. They pass the same 'WELCOME TO BURT' sign that they passed the previous night. They are back in the same place.,25,20
